1712.7075 	DATA 	Mouse: Left button down, pos=(714,212)
1712.7081 	DATA 	RatingScale GSI: (mouse response) rating=Strongly
 Disagree
1712.8222 	DATA 	Mouse:  Left button up, pos=(714,212)
1718.2052 	DATA 	Mouse: Left button down, pos=(1045,265)
1718.3401 	DATA 	Mouse:  Left button up, pos=(1045,265)
1719.4417 	DATA 	Mouse: Left button down, pos=(703,216)
1719.4424 	DATA 	RatingScale GSI: (mouse response) rating=Completely
 Agree
1719.5388 	DATA 	Mouse:  Left button up, pos=(703,216)
1730.9893 	DATA 	Mouse: Left button down, pos=(400,266)
1731.0057 	DATA 	Mouse:  Left button up, pos=(400,266)
1732.4608 	DATA 	Mouse: Left button down, pos=(716,204)
1732.4614 	DATA 	RatingScale GSI: (mouse response) rating=Completely
 Disagree
1732.5325 	DATA 	Mouse:  Left button up, pos=(716,204)
1740.6809 	DATA 	Mouse: Left button down, pos=(716,204)
1740.6816 	DATA 	RatingScale GSI: (mouse response) rating=Completely
 Disagree
1740.8296 	DATA 	Mouse:  Left button up, pos=(716,204)
1745.3782 	DATA 	Mouse: Left button down, pos=(937,263)
1745.5272 	DATA 	Mouse:  Left button up, pos=(937,263)
1746.6484 	DATA 	Mouse: Left button down, pos=(1046,264)
1746.7492 	DATA 	Mouse:  Left button up, pos=(1046,264)
1747.6509 	DATA 	Mouse: Left button down, pos=(731,205)
1747.6515 	DATA 	RatingScale GSI: (mouse response) rating=Completely
 Agree
1747.7788 	DATA 	Mouse:  Left button up, pos=(731,205)
1750.3745 	DATA 	Mouse: Left button down, pos=(731,205)
1750.3752 	DATA 	RatingScale GSI: (mouse response) rating=Completely
 Agree
1750.5034 	DATA 	Mouse:  Left button up, pos=(731,205)
1759.7161 	DATA 	Mouse: Left button down, pos=(502,262)
1759.8667 	DATA 	Mouse:  Left button up, pos=(502,262)
1761.6883 	DATA 	Mouse: Left button down, pos=(731,202)
1761.6891 	DATA 	RatingScale GSI: (mouse response) rating=Strongly
 Disagree
1761.8056 	DATA 	Mouse:  Left button up, pos=(731,202)
1769.0908 	DATA 	Mouse: Left button down, pos=(1045,268)
1769.2580 	DATA 	Mouse:  Left button up, pos=(1045,268)
1770.2282 	DATA 	Mouse: Left button down, pos=(763,205)
1770.2290 	DATA 	RatingScale GSI: (mouse response) rating=Completely
 Agree
1770.3820 	DATA 	Mouse:  Left button up, pos=(763,205)
1777.4635 	DATA 	Mouse: Left button down, pos=(940,259)
1777.5631 	DATA 	Mouse:  Left button up, pos=(940,259)
1781.2909 	DATA 	Mouse: Left button down, pos=(747,208)
1781.2915 	DATA 	RatingScale GSI: (mouse response) rating=Strongly
 Agree
1781.4561 	DATA 	Mouse:  Left button up, pos=(747,208)
1787.3566 	DATA 	Mouse: Left button down, pos=(746,208)
1787.3572 	DATA 	RatingScale GSI: (mouse response) rating=Strongly
 Agree
1787.5213 	DATA 	Mouse:  Left button up, pos=(746,208)
1792.4537 	DATA 	Mouse: Left button down, pos=(494,266)
1792.6200 	DATA 	Mouse:  Left button up, pos=(494,266)
1793.9917 	DATA 	Mouse: Left button down, pos=(700,205)
1793.9923 	DATA 	RatingScale GSI: (mouse response) rating=Strongly
 Disagree
1794.1279 	DATA 	Mouse:  Left button up, pos=(700,205)
1800.1584 	DATA 	Mouse: Left button down, pos=(1040,266)
1800.3091 	DATA 	Mouse:  Left button up, pos=(1040,266)
1801.2273 	DATA 	Mouse: Left button down, pos=(765,203)
1801.2279 	DATA 	RatingScale GSI: (mouse response) rating=Completely
 Agree
1801.3947 	DATA 	Mouse:  Left button up, pos=(765,203)
1805.5890 	DATA 	Mouse: Left button down, pos=(399,258)
1805.7549 	DATA 	Mouse:  Left button up, pos=(399,258)
1806.7413 	DATA 	Mouse: Left button down, pos=(708,200)
1806.7421 	DATA 	RatingScale GSI: (mouse response) rating=Completely
 Disagree
1806.8947 	DATA 	Mouse:  Left button up, pos=(708,200)
1815.6494 	DATA 	Mouse: Left button down, pos=(938,266)
1815.7998 	DATA 	Mouse:  Left button up, pos=(938,266)
1816.4176 	DATA 	Mouse: Left button down, pos=(746,201)
1816.4183 	DATA 	RatingScale GSI: (mouse response) rating=Strongly
 Agree
1816.5912 	DATA 	Mouse:  Left button up, pos=(746,201)
1828.4165 	DATA 	Mouse: Left button down, pos=(611,265)
1828.5502 	DATA 	Mouse:  Left button up, pos=(611,265)
1829.8377 	DATA 	Mouse: Left button down, pos=(712,215)
1829.8382 	DATA 	RatingScale GSI: (mouse response) rating=Disagree
1829.9967 	DATA 	Mouse:  Left button up, pos=(712,215)
1834.8175 	DATA 	Mouse: Left button down, pos=(1043,264)
1834.9502 	DATA 	Mouse:  Left button up, pos=(1043,264)
1835.9533 	DATA 	Mouse: Left button down, pos=(761,208)
1835.9541 	DATA 	RatingScale GSI: (mouse response) rating=Completely
 Agree
1836.1148 	DATA 	Mouse:  Left button up, pos=(761,208)
1840.4313 	DATA 	Mouse: Left button down, pos=(380,265)
1840.5670 	DATA 	Mouse:  Left button up, pos=(380,265)
1841.5183 	DATA 	Mouse: Left button down, pos=(700,207)
1841.5188 	DATA 	RatingScale GSI: (mouse response) rating=Completely
 Disagree
1841.6703 	DATA 	Mouse:  Left button up, pos=(700,207)
1851.3940 	DATA 	Mouse: Left button down, pos=(945,264)
1851.5112 	DATA 	Mouse:  Left button up, pos=(945,264)
1852.8319 	DATA 	Mouse: Left button down, pos=(757,188)
1852.9822 	DATA 	Mouse:  Left button up, pos=(757,188)
1853.5509 	DATA 	Mouse: Left button down, pos=(757,209)
1853.5516 	DATA 	RatingScale GSI: (mouse response) rating=Strongly
 Agree
1853.7087 	DATA 	Mouse:  Left button up, pos=(757,209)
1864.0450 	DATA 	Mouse: Left button down, pos=(757,209)
1864.0456 	DATA 	RatingScale GSI: (mouse response) rating=Strongly
 Agree
1864.2182 	DATA 	Mouse:  Left button up, pos=(757,209)
1869.6779 	DATA 	Mouse: Left button down, pos=(505,260)
1869.8431 	DATA 	Mouse:  Left button up, pos=(505,260)
1870.5951 	DATA 	Mouse: Left button down, pos=(675,206)
1870.5956 	DATA 	RatingScale GSI: (mouse response) rating=Strongly
 Disagree
1870.7356 	DATA 	Mouse:  Left button up, pos=(675,206)
1876.5117 	DATA 	Mouse: Left button down, pos=(942,267)
1876.6609 	DATA 	Mouse:  Left button up, pos=(942,267)
1878.6167 	DATA 	Mouse: Left button down, pos=(742,203)
1878.6173 	DATA 	RatingScale GSI: (mouse response) rating=Strongly
 Agree
1878.7842 	DATA 	Mouse:  Left button up, pos=(742,203)
1885.2169 	DATA 	Mouse: Left button down, pos=(1047,263)
1885.3348 	DATA 	Mouse:  Left button up, pos=(1047,263)
1886.8393 	DATA 	Mouse: Left button down, pos=(751,219)
1886.8400 	DATA 	RatingScale GSI: (mouse response) rating=10+
1886.8400 	DATA 	RatingScale GSI: rating RT=7.948
1886.8400 	DATA 	RatingScale GSI: history=[(None, 0.0), ('10+', 6.325), ('10+', 7.948)]
1887.0085 	DATA 	Mouse:  Left button up, pos=(751,219)
1894.3251 	DATA 	Mouse: Left button down, pos=(1045,261)
1894.4924 	DATA 	Mouse:  Left button up, pos=(1045,261)
1898.4364 	DATA 	Mouse: Left button down, pos=(933,255)
1898.6027 	DATA 	Mouse:  Left button up, pos=(933,255)
1900.6420 	DATA 	Mouse: Left button down, pos=(752,212)
1900.6426 	DATA 	RatingScale GSI: (mouse response) rating=3-4
1900.6427 	DATA 	RatingScale GSI: rating RT=13.540
1900.6427 	DATA 	RatingScale GSI: history=[(None, 0.0), ('5+', 7.223), ('3-4', 11.335), ('3-4', 13.54)]
1900.7986 	DATA 	Mouse:  Left button up, pos=(752,212)
1907.9125 	DATA 	Mouse: Left button down, pos=(1045,251)
1908.0456 	DATA 	Mouse:  Left button up, pos=(1045,251)
1911.5215 	DATA 	Mouse: Left button down, pos=(740,213)
1911.5221 	DATA 	RatingScale GSI: (mouse response) rating=11+
