26.0112 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [2560, 1440]. Using actual size
1082.1675 	DATA 	Mouse: Left button down, pos=(1280,324)
1082.1688 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1082.2613 	DATA 	Mouse:  Left button up, pos=(1280,324)
1082.8366 	DATA 	Mouse: Left button down, pos=(1280,324)
1082.8378 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1082.9335 	DATA 	Mouse:  Left button up, pos=(1280,324)
1083.4386 	DATA 	Mouse: Left button down, pos=(1279,326)
1083.4407 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1083.5090 	DATA 	Mouse:  Left button up, pos=(1279,326)
1083.9711 	DATA 	Mouse: Left button down, pos=(1278,326)
1083.9726 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1084.0536 	DATA 	Mouse:  Left button up, pos=(1278,326)
1084.1332 	DATA 	Mouse: Left button down, pos=(1278,326)
1084.2074 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1084.2307 	DATA 	Mouse:  Left button up, pos=(1278,326)
1084.3255 	DATA 	Mouse: Left button down, pos=(1278,326)
1084.4053 	DATA 	Mouse:  Left button up, pos=(1278,326)
1084.5031 	DATA 	Mouse: Left button down, pos=(1278,326)
1084.5042 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1084.5812 	DATA 	Mouse:  Left button up, pos=(1278,326)
1084.6775 	DATA 	Mouse: Left button down, pos=(1278,326)
1084.7358 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1084.9413 	DATA 	Mouse:  Left button up, pos=(1278,326)
1085.3568 	DATA 	Mouse: Left button down, pos=(1278,326)
1085.3584 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1085.4370 	DATA 	Mouse:  Left button up, pos=(1278,326)
1085.8379 	DATA 	Mouse: Left button down, pos=(1278,326)
1085.8391 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1085.9335 	DATA 	Mouse:  Left button up, pos=(1278,326)
1086.2388 	DATA 	Mouse: Left button down, pos=(1278,326)
1086.2404 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1086.3414 	DATA 	Mouse:  Left button up, pos=(1278,326)
1086.6557 	DATA 	Mouse: Left button down, pos=(1278,326)
1086.6572 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1086.7416 	DATA 	Mouse:  Left button up, pos=(1278,326)
1087.0377 	DATA 	Mouse: Left button down, pos=(1278,326)
1087.0386 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1087.1655 	DATA 	Mouse:  Left button up, pos=(1278,326)
1087.5267 	DATA 	Mouse: Left button down, pos=(1278,326)
1087.5284 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1087.6453 	DATA 	Mouse:  Left button up, pos=(1278,326)
