1177.4015 	DATA 	Mouse: Left button down, pos=(1292,313)
1177.4030 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1177.4972 	DATA 	Mouse:  Left button up, pos=(1292,313)
1178.0347 	DATA 	Mouse: Left button down, pos=(1292,313)
1178.0360 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1178.1291 	DATA 	Mouse:  Left button up, pos=(1292,313)
1178.6187 	DATA 	Mouse: Left button down, pos=(1292,313)
1178.6198 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1178.7133 	DATA 	Mouse:  Left button up, pos=(1292,313)
1179.3353 	DATA 	Mouse: Left button down, pos=(1292,313)
1179.3364 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1179.4334 	DATA 	Mouse:  Left button up, pos=(1292,313)
1180.0870 	DATA 	Mouse: Left button down, pos=(1293,312)
1180.0879 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1180.2093 	DATA 	Mouse:  Left button up, pos=(1293,312)
1180.9530 	DATA 	Mouse: Left button down, pos=(1277,313)
1180.9697 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1181.0735 	DATA 	Mouse:  Left button up, pos=(1276,313)
1183.0894 	DATA 	Mouse: Left button down, pos=(1317,476)
1183.2048 	DATA 	Mouse:  Left button up, pos=(1312,469)
1183.6881 	DATA 	Mouse: Left button down, pos=(1303,309)
1183.7885 	DATA 	Mouse:  Left button up, pos=(1303,309)
1184.9248 	DATA 	Mouse: Left button down, pos=(1271,326)
1184.9258 	DATA 	RatingScale GSI: (mouse response) rating=3
1184.9258 	DATA 	RatingScale GSI: rating RT=3.668
1184.9258 	DATA 	RatingScale GSI: history=[(None, 0.0), ('3', 1.833), ('3', 3.668)]
1185.0171 	DATA 	Mouse:  Left button up, pos=(1271,326)
1185.7404 	DATA 	Mouse: Left button down, pos=(1293,437)
1185.8229 	DATA 	Mouse:  Left button up, pos=(1293,437)
1186.1571 	DATA 	Mouse: Left button down, pos=(1281,341)
1186.1584 	DATA 	RatingScale GSI: (mouse response) rating=1.5
1186.1584 	DATA 	RatingScale GSI: rating RT=0.960
1186.1584 	DATA 	RatingScale GSI: history=[(None, 0.0), ('1.5', 0.542), ('1.5', 0.96)]
1186.2330 	DATA 	Mouse:  Left button up, pos=(1281,341)
1186.7911 	DATA 	Mouse: Left button down, pos=(1295,470)
1186.8740 	DATA 	Mouse:  Left button up, pos=(1295,469)
